Site,Taxon,Type,i-14:0,14:0,i-15:0,a-15:0,15:0,15:1w7,i-16:0,16:0,16:1w9,16:1w8,16:1w7,16:1w6,16:1w5,i-17:0,a-17:0,17:0,16:2w7,16:2w6,16:2w4,16:3w6,16:3w4,16:3w3,16:4w3,16:4w1,18:0,Cy19:0,18:1w9,18:1w7,18:2w6,18:3w6,18:3w3,18:4w4,18:4w3,18:5w3,20:0,20:1w9,20:1w7,20:2w6,20:3w6,20:4w6,20:3w3,20:4w3,20:5w3,22:0,22:1w9,22:1w7,22:4w6,22:5w6,22:5w3,22:6w3,23:0,24:0,26:0,27:0,28:0,29:0,30:0,Sample_Date,Peri_Chla_mg.cm2,SRP_ug.L,NO3_ug.L,Canopy_Cover_per,Lat_Long,Slurry_Volume_mL,Cobble_SA_cm2,Slurry_AFDM_g,Slurry_Chla_mg,Temp,pH,DO_mg.L,Conductivity_uS.cm,State,EcoRegion,Discharge_L.s,MidPoint_Velocity_m.s,chla.afdm_per,AI,chla_mg.m2,afdm_mg.m2,UrbOp_per,UrbLo_per,UrbMed_per,UrbHi_per,Decid_per,Conif_per,MixFor_per,Hay_per,SepticWs,UrbTot_per,ForTot
Spring,Hydropsychidae,Invert,0.017969232,0.226212889,0.097794949,0.018164594,0.119154525,0,0.032710921,2.498545367,0.065796286,0.015063222,1.311143415,0,0.188630128,0.060529652,0.024204535,0.179378925,0.002181542,0.071954258,0,0,0.009059912,0.009210503,0.006617887,0.002674017,0.678256082,0,2.125330732,0.245256611,0.807781072,0.018575668,1.038043652,0,0.036809452,0,0.041005665,0,0,0.005474205,0,0.243852447,0,0,2.075448307,0.040732972,0,0,0,0,0.005433505,0.008331374,0,0.008376145,0,0,0,0,0,2-Aug-19,0.849,7.2,25.6,96,"36.04519944804692, -92.43342848020193",220,909,0.842285714,0.772,24.4,8.47,8.55,301,AR,Springfield_Plateau,0.4,0.1,0.09165535959689802,1091.043670984456,8.492849284928493,9.266069460946095,3.11,0.46,0.05,0,62.6,4.89,17.7,9.96,4.7,0.51,85.19
Spring,Heptageniidae,Invert,0.005508448,0.104812888,0.052023207,0.005309904,0.050264013,0,0.010998427,1.817589376,0.073932333,0.034144991,1.831418213,0,0.215729856,0.065284115,0.008015646,0.145925397,4.57113e-4,0.09407303,0,0,0.076504173,0.004737358,0.001685317,0.008255746,0.725134343,0,0.728565003,1.243200899,0.528995724,0.036550609,0.383245785,0,0.050083938,0,0.049760726,0,0,0.020103758,0,0.366489574,0,0,1.583528807,0.046002238,0,0,0,0,0.01219431,0.01514477,0,0.004995927,0,0,0,0,0,2-Aug-19,0.849,7.2,25.6,96,"36.04519944804692, -92.43342848020193",220,909,0.842285714,0.772,24.4,8.47,8.55,301,AR,Springfield_Plateau,0.4,0.1,0.09165535959689802,1091.043670984456,8.492849284928493,9.266069460946095,3.11,0.46,0.05,0,62.6,4.89,17.7,9.96,4.7,0.51,85.19
Spring,Psephenidae,Invert,0.006622977,0.513773734,0.035677114,0.0068792,0.039458345,0,0.01538891,4.817947724,0.093164242,0.01019457,7.976859179,0,0.066082245,0.015287973,0.015893591,0.080298741,0.019519535,0.590174779,0,0,0.829199796,0.078551765,0.445012794,0.083148251,0.757069135,0,3.193819901,1.107271648,1.375350802,0.178090525,1.79129393,0,0.197462538,0,0.089546062,0,0,0.011988131,0,0.578722387,0,0,2.640246191,0.027043175,0,0,0,0,0.040514294,0.014410604,0,0.015078336,0,0,0,0,0,2-Aug-19,0.849,7.2,25.6,96,"36.04519944804692, -92.43342848020193",220,909,0.842285714,0.772,24.4,8.47,8.55,301,AR,Springfield_Plateau,0.4,0.1,0.09165535959689802,1091.043670984456,8.492849284928493,9.266069460946095,3.11,0.46,0.05,0,62.6,4.89,17.7,9.96,4.7,0.51,85.19
Spring,Limnephilidae,Invert,0.003177603,0.343193623,0.012197012,0.002043635,0.051217982,0,0.009340908,2.775498211,0.041710094,0.003853,4.940901562,0,0.257570297,0.023536695,0.018180876,0.076925416,0.080486824,1.138810674,0,0,0.162787997,0.272850208,0.408525148,0.170396799,0.697151223,0,2.473204704,0.286956275,1.044008436,0.061805008,2.165086837,0,0.23738317,0,0.038385449,0,0,0.005039305,0,0.10061663,0,0,0.846174589,0.018499882,0,0,0,0,0.002868566,0.003521532,0,0.002011236,0,0,0,0,0,2-Aug-19,0.849,7.2,25.6,96,"36.04519944804692, -92.43342848020193",220,909,0.842285714,0.772,24.4,8.47,8.55,301,AR,Springfield_Plateau,0.4,0.1,0.09165535959689802,1091.043670984456,8.492849284928493,9.266069460946095,3.11,0.46,0.05,0,62.6,4.89,17.7,9.96,4.7,0.51,85.19
Spring,Physidae,Invert,0.0010351205,0.118082625,0.0035061780000000004,7.5701e-4,0.0180301135,0,0.0074309195,0.4851998975,0.0037828510000000003,8.738215000000001e-4,0.1710588125,0,0.0118855575,0.035532092,0.0143826835,0.0374580035,0.0019268789999999998,0.005856971,0,0,0.0024422625,6.568254999999999e-4,4.1931849999999997e-4,8.925770000000001e-4,0.302189078,0,0.077298225,0.084583921,0.0444145565,8.646975e-4,0.0214600315,0,0.003413353,0,0.0047129865,0,0,0.038034314,0,0.071970387,0,0,0.067838155,0.0019496269999999998,0,0,0,0,0.1265628065,0.005757595,0,0.001182862,0,0,0,0,0,2-Aug-19,0.849,7.2,25.6,96,"36.04519944804692, -92.43342848020193",220,909,0.842285714,0.772,24.4,8.47,8.55,301,AR,Springfield_Plateau,0.4,0.1,0.09165535959689802,1091.043670984456,8.492849284928493,9.266069460946095,3.11,0.46,0.05,0,62.6,4.89,17.7,9.96,4.7,0.51,85.19
Roasting Ear,Hydropsychidae,Invert,0.0209136455,1.1053538885,0.059116469500000005,0.007159855,0.079581452,0,0.0221966355,2.887655959,0.0621318495,0.0019880030000000003,3.832841136,0,0.1369465955,0.039726129,0.013916624499999999,0.16652031350000002,0.0050347305,0.6280717735,0,0,0.1314020825,0.1004503635,0.051246316,0.065200545,0.8311255905,0,2.541384497,0.47974459999999997,0.725214225,0.08699200600000001,1.379095724,0,0.130687987,0,0.047269715000000004,0,0,0.007964864,0,0.2613435715,0,0,3.6207140874999997,0.032272261499999996,0,0,0,0,0.016827904,0.02888914,0,0.008626931000000001,0,0,0,0,0,2-Aug-19,2.553,7.9,239.3,1,"35.95118053156019, -92.28777778037545",470,928,1.890444444,2.37,20.2,7.85,7.23,289,AR,Springfield_Plateau,190,0.1,0.12536734456926468,797.6558835443037,25.538793103448278,20.371168577586207,3.09,0.58,0.09,0,73.7,3.83,5.1,11.3,3.57,0.6699999999999999,82.63
Roasting Ear,Heptageniidae,Invert,0.006021537,0.530505409,0.034076636,0.002438844,0.068533933,0,0.007965894,2.658050364,0.043494267,0.005918907,4.327816714,0,0.192028616,0.031887834,0.005256482,0.123300621,0.001565562,0.702560512,0,0,0.280687208,0.077643676,0.012628993,0.102606837,1.03903137,0,1.175867853,2.635093139,0.761010656,0.144520613,1.086233351,0,0.178976044,0,0.054973813,0,0,0.019781317,0,0.558609024,0,0,3.554255436,0.036965182,0,0,0,0,0.005920773,0.006265981,0,0.006101774,0,0,0,0,0,2-Aug-19,2.553,7.9,239.3,1,"35.95118053156019, -92.28777778037545",470,928,1.890444444,2.37,20.2,7.85,7.23,289,AR,Springfield_Plateau,190,0.1,0.12536734456926468,797.6558835443037,25.538793103448278,20.371168577586207,3.09,0.58,0.09,0,73.7,3.83,5.1,11.3,3.57,0.6699999999999999,82.63
Roasting Ear,Amphipod,Invert,0.014428929,0.831661212,0.040740556,0.007939168,0.055452493500000005,0,0.0135847085,2.678687671,0.0306018485,0.002225158,3.0743895095,0,0.055530089500000004,0.028227877999999998,0.007544853,0.153177491,0.003202972,0.32309275800000004,0,0,0.1514573595,0.037368137999999995,0.022181213,0.080255505,0.380928718,0,3.2428801835,0.8475501455,0.484116485,0.0664668325,0.299194138,0,0.0637333525,0,0.0232975615,0,0,0.0625901035,0,0.266051813,0,0,1.8003665475,0.0133429685,0,0,0,0,0.1511270675,0.1804755235,0,0.0074498675,0,0,0,0,0,2-Aug-19,2.553,7.9,239.3,1,"35.95118053156019, -92.28777778037545",470,928,1.890444444,2.37,20.2,7.85,7.23,289,AR,Springfield_Plateau,190,0.1,0.12536734456926468,797.6558835443037,25.538793103448278,20.371168577586207,3.09,0.58,0.09,0,73.7,3.83,5.1,11.3,3.57,0.6699999999999999,82.63
Roasting Ear,Isopod,Invert,0.045935316,0.8616464335,0.1343304425,0.02447768,0.131408603,0,0.06505385250000001,2.7595306094999996,0.012727668000000001,0.001956186,3.397218756,0,0.0941189015,0.098252069,0.027286447999999998,0.13571739300000002,2.826025e-4,0.0382248895,0,0,0.006995010500000001,0.001858296,9.43809e-4,0.0250025075,0.6439469425000001,0,1.5434143169999999,0.371463835,0.0349507295,0.0018588875,0.0200836975,0,0.0100595865,0,0.04462879,0,0,0.0065092255,0,0.0058664905,0,0,0.0349229345,0.048404421,0,0,0,0,2.897695e-4,9.351495e-4,0,0.038426116999999996,0,0,0,0,0,2-Aug-19,2.553,7.9,239.3,1,"35.95118053156019, -92.28777778037545",470,928,1.890444444,2.37,20.2,7.85,7.23,289,AR,Springfield_Plateau,190,0.1,0.12536734456926468,797.6558835443037,25.538793103448278,20.371168577586207,3.09,0.58,0.09,0,73.7,3.83,5.1,11.3,3.57,0.6699999999999999,82.63
Roasting Ear,Physidae,Invert,0.001117493,0.184611189,0.003101025,5.904975e-4,0.0199443845,0,0.0054660795,0.549869021,0.003979277,4.4070800000000005e-4,0.310909514,0,0.015037154,0.026815479,0.0092470995,0.0383599895,0.0030200929999999997,0.031081829000000002,0,0,0.0145911135,0.005863232,0.0027655780000000003,0.008854740500000001,0.32311555150000004,0,0.068186071,0.11343858100000001,0.057391494999999994,0.005832034,0.0644251295,0,0.0100260585,0,0.0037445595000000003,0,0,0.054450883500000005,0,0.132721756,0,0,0.2214400645,0.0016256205,0,0,0,0,0.235882446,0.040917080499999994,0,0.001331239,0,0,0,0,0,2-Aug-19,2.553,7.9,239.3,1,"35.95118053156019, -92.28777778037545",470,928,1.890444444,2.37,20.2,7.85,7.23,289,AR,Springfield_Plateau,190,0.1,0.12536734456926468,797.6558835443037,25.538793103448278,20.371168577586207,3.09,0.58,0.09,0,73.7,3.83,5.1,11.3,3.57,0.6699999999999999,82.63
