Site,i-14:0_mean,i-14:0_var,14:0_mean,14:0_var,i-15:0_mean,i-15:0_var,a-15:0_mean,a-15:0_var,15:0_mean,15:0_var,i-16:0_mean,i-16:0_var,16:0_mean,16:0_var,16:1w9_mean,16:1w9_var,16:1w7_mean,16:1w7_var,16:1w5_mean,16:1w5_var,i-17:0_mean,i-17:0_var,a-17:0_mean,a-17:0_var,17:0_mean,17:0_var,16:2w7_mean,16:2w7_var,16:3w4_mean,16:3w4_var,16:3w3_mean,16:3w3_var,18:0_mean,18:0_var,18:1w9_mean,18:1w9_var,18:1w7_mean,18:1w7_var,18:2w6_mean,18:2w6_var,18:3w6_mean,18:3w6_var,18:3w3_mean,18:3w3_var,18:4w3_mean,18:4w3_var,20:0_mean,20:0_var,20:2w6_mean,20:2w6_var,20:4w6_mean,20:4w6_var,20:5w3_mean,20:5w3_var,22:0_mean,22:0_var,22:5w3_mean,22:5w3_var,22:6w3_mean,22:6w3_var,23:0_mean,23:0_var,24:0_mean,24:0_var,Sample_Date,SRP_ug.L,NO3_ug.L,Canopy_Cover_per,Lat_Long,Slurry_Volume_mL,Cobble_SA_cm2,Slurry_AFDM_g,Slurry_Chla_mg,Temp,pH,DO_mg.L,Conductivity_uS.cm,State,EcoRegion,Discharge_L.s,MidPoint_Velocity_m.s,chla.afdm_per,AI,chla_mg.m2,afdm_mg.m2,UrbOp_per,UrbLo_per,UrbMed_per,UrbHi_per,Decid_per,Conif_per,MixFor_per,Hay_per,SepticWs,UrbTot_per,ForTot
Cap Fork-North Sylamore,0.018799926552105266,7.233452964980646e-5,2.740074005431579,2.7370114491832718,0.27879375450105265,0.015312583915319877,0.029646450851789477,1.4143967285158062e-4,0.12531477816,0.007170334869495566,0.012760454709052634,8.545788423493106e-5,9.269406176105264,17.464598521152936,0.20602907758105266,0.013800559474584828,11.66469542926316,63.91522190730673,0.6933845060452631,0.2260635212931661,0.042561567936105264,0.0012007734148100119,0.024002874574421056,3.5216025567888753e-4,0.05537928378484211,0.0013801853213172039,0.27571887126105266,0.041682726147099204,0.05341634051684211,0.0014131196175317824,0.05816370604200001,0.0029935281104250208,1.052840886486316,0.4538323809053585,1.0069712025578947,0.4185500676968107,0.9824391069863159,0.4009766073859798,1.4225770177894739,0.907397965742534,0.047215396726105266,0.0011645130711391382,0.8313835003157894,0.37198901659793293,0.03050437402726316,5.030898016923811e-4,0.035010627363263165,5.026265564450746e-4,0.020149447508210527,2.476325140048904e-4,0.08744570556936843,0.004468758745568972,0.2910005087189474,0.04892014126624251,0.0663666373691579,0.00233769769070682,0.014814470549894739,2.041523377016166e-4,0.003656629621894737,1.6140740137462648e-5,0.004698592725894737,9.075214023271296e-6,0.11474563282273685,0.014226611469466667,1-Aug-19,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1,0.04750614682121532,2104.9907578558223,5.6947368421052635,11.987368421052631,3.23,0.5,0.07,0.01,80.5,7.24,5.69,1.67,4.7,0.5800000000000001,93.42999999999999
Cove,0.04146256632596544,9.33936042995405e-6,9.405220466006096,1.8664331775006455,0.2806467481072154,3.8273994297496937e-4,0.035740998704776414,7.815965222483292e-6,0.6680286238109755,0.00911744531490573,0.035290719381351615,4.897644297656193e-6,48.784391899136175,28.172230350986588,0.88322498457063,0.01653648448920729,62.32160437296748,126.4960584964307,2.5442251869410564,0.09105788366969046,0.08385617656885161,1.3090771934518688e-5,0.056345797774644296,2.9496738230078718e-5,0.2483612326064532,7.750281603852303e-4,1.0061943851829267,0.059692014431552275,0.026780536343114836,8.677692192723622e-5,0.10638041760365852,0.0018796538215016172,5.923470381580284,0.11790891720785387,3.573846331935975,0.23170575116365325,1.4703538167352639,0.021326421588406176,1.2486480569588412,0.11160137337304164,0.1173743205434451,0.0027835846976817864,0.5664968873043699,0.054224444168661665,0.08440759429852641,0.0019924555830807033,0.1998221923559451,3.6627515401967435e-4,0.015840354219766258,3.632719543608929e-6,0.1173729301938516,0.0036239392743215664,0.37375775255081295,0.04200915256195222,0.10650100297078251,4.4296811637951906e-5,0.007869158926930893,5.346335334615353e-5,0.0029119084786585364,3.754346945273068e-6,0.016470523306885157,5.677120819269325e-6,0.3520929125685975,3.44803020752479e-4,5-Aug-19,7.4,367.5,34.7,"35.70117803375184, -93.8362206950113",290,1312,0.657333333,0.258,26.4,7.94,8.34,84,AR,Boston_Mountains,8.7,0.06,0.039249492920511914,2547.80361627907,1.9664634146341462,5.0101625990853655,1.87,0.04,0.01,0,92.7,3.95,0.76,0.55,2.37,0.05,97.41000000000001
Diles,0.10851539367892976,0.002226398078036518,4.8827396145150495,2.492930073896923,1.0327566341137122,0.18498369653757885,0.22625746729765886,0.008818984986044668,0.33559114149832775,0.015505063631158588,0.05559022500401337,5.123730761585128e-4,12.09900394715719,6.841751799407834,0.5069110141806019,0.024232085217378588,5.9859915220735775,5.241694346737218,2.7513792628093645,1.7287662846460718,0.08738923224080267,0.0011151069084052508,0.08183987205351169,0.0012680550446678115,0.13000904646822742,0.0019107933221051275,0.14342141795317725,0.003949415470905101,0.11854191589966555,0.003017235190495353,0.052315156474916386,6.052525809700636e-4,1.1998950158528428,0.088547187568782,2.4655964383946487,0.9368873789369608,2.5506245305685615,1.0416674125335799,3.6309339963210703,1.7954290053251218,0.27389856513712374,0.014484510158747927,1.3699655217391302,0.3278981214738995,0.6495653232240802,0.1057837637041518,0.12102863634782608,0.00159813155922324,0.06138185471839464,5.519485343979423e-4,0.8900512433779263,0.1986221759178818,2.0062789165886286,1.0253102532283878,0.2780620273645485,0.012185075910200977,0.07440701569565217,0.001289599606893039,0.15936127743812709,0.008044356200151172,0.032671888246153843,2.017462219590929e-4,0.607849550528428,0.07596271542608424,31-Aug-19,5.9,324.8,92.3,"36.453992,-91.183338",720,1196,2.92,0.654,25.7,8.08,8.5,430,AR,Springfield_Plateau,49.7,0.08,0.022397260273972607,4464.831804281345,5.4682274247491645,24.414715719063544,2.59,0.12,0.02,0,71.8,0.15,5.97,16.2,2.04,0.13999999999999999,77.92
East Livingstone,0.09627838063167261,0.006100894024051821,8.386017891903915,9.21496181921351,0.6488865176156584,0.178446750961632,0.12521401250355874,0.010065901546114904,0.6226093011743773,0.07302773849055741,0.11712288503291815,0.013911726451702154,45.83025166459075,21.176913259784737,1.3817748892259787,0.2527323434475674,53.45172659119217,1116.9976145307821,4.465945815222421,6.537116463620797,0.280168926022242,0.0663881404370804,0.14955421943772243,0.0033776056533958037,0.8653578334982209,1.2018717830149381,1.3330961325800712,0.05763466334120859,0.6918642979457296,0.3125862763217249,0.45760223428825625,0.005518574241167014,15.404679320765124,428.13788256968786,10.08695279217082,69.82979955871399,9.165869121708186,36.170600629442234,11.684693884430606,0.5783113955259116,0.49890519274288253,0.051877561953034015,9.310311117099644,33.08733528527599,0.5071324676637011,0.05082279012393285,0.43952657702135234,0.30479237373252255,0.10421221755160143,0.001131492924813281,1.1358526882295374,0.023747276535153565,5.367608917882563,0.7549309411367681,0.22895131901690394,0.04472706484552166,0.21790979712535588,0.03465766204346529,0.08658531144145909,0.004901549763808962,0.01592151699697509,6.421153808156708e-5,0.20164462460676158,0.007963628754595742,1-Aug-19,6.8,68.4,45.1,"35.99504257987518, -92.1222211645147",390,1124,2.60325,0.572,25,NA,NA,NA,AR,Springfield_Plateau,8.3,0.14,0.02197253433208489,4551.136363636364,5.0889679715302485,23.1605871886121,1.62,0.89,0.09,0,48.9,13.2,29.9,0.27,1.93,0.98,92
Hurricane,0.032733041139240505,5.021010806222132e-5,4.850180147679325,0.20705879300445995,0.2077610361165206,0.004767477289537964,0.026908421582278484,3.7894628678516425e-5,0.35090457156767285,0.009009027324653598,0.03295745588283025,5.163312930896113e-4,17.953593859136646,1.396213616367056,0.3982741301525479,0.008870365898975297,16.505622630639404,205.00137248110263,3.2093377685816296,0.9142470839519817,0.05824985305907173,6.892328980589198e-4,0.06359736992048036,8.566216682456922e-4,0.14634788028237586,0.00166391393911426,0.10921040581791627,0.014661221756726421,0.01287702153521584,4.0097058926576667e-4,0.03819503680623174,0.0031693680993799254,1.7656418850210969,0.290098209834365,1.86262158714703,0.2974599252029304,1.0474625069782537,0.15117828659639937,0.5591564098993832,0.4868769634501458,0.05384097609704641,0.0057398468843880765,0.2652721429487179,0.14601807622089563,0.059169501560370014,0.0060425793306719796,0.07460069723304122,7.230213332398047e-4,0.011053195434923727,1.689100558620529e-4,0.11688761742697178,0.02886959244273375,0.17247534898571892,0.057939200117473756,0.0541168200259656,2.1712706513101512e-4,0.004433977886238235,3.259922980978816e-5,2.267952839987017e-4,4.706299377708939e-8,0.009125874751703992,1.7019178486051694e-5,0.14913954169912366,0.0016458966363012532,3-Aug-19,7.2,196.6,44,"35.699393261351936, -93.24437478628576",250,1027,1.078571429,0.4005,26.2,8.78,8.28,48,AR,Boston_Mountains,132.9,0.47,0.03713245031637122,2693.062244694132,3.8997078870496593,10.502156075949367,2.57,0.14,0.02,0,90.5,3.33,1.51,1.57,1.67,0.16,95.34
Lewis Prong-Panther,0.04043941183108758,1.9774834037894644e-4,3.60800608141803,0.621657625859661,0.923904067003529,0.13791879340331722,0.12251755237151107,0.0022835614541901247,0.3569160099188322,0.015074110293966343,0.02414413797231312,5.335924415170476e-5,11.654516644914981,8.076710558016677,0.7088236037824831,0.04233922782996147,15.216451943792109,26.16584276123716,3.762422156811036,1.5947490201961487,0.059761481599935835,6.037547704620771e-4,0.05287630803978184,3.22303329139245e-4,0.14822557158614053,0.0033525573645408232,0.1977920561401989,0.004820680632220154,0.057736307076355464,2.775057071440624e-4,0.04405027523673404,1.96991598539532e-4,2.806628137728585,0.9540476604028769,2.6917706846262432,1.0310289261749792,1.0576187709528393,0.17756125039839107,1.03502861728906,0.14685059030190434,0.09696186072056463,0.0011855028096918881,0.6256614787231312,0.05674360440130741,0.08180401763618864,8.957523519868283e-4,0.07377139988610844,9.666691421315475e-4,0.02346777616326596,6.693530599022019e-5,0.12629481177831248,0.0025504073953622093,0.2109111763147257,0.008111166369237578,0.05429378152967597,6.153413834489658e-4,0.002652777738562721,1.0186511771277962e-6,0.0062948823701956995,4.243656028287485e-5,0.007971405465255052,1.0933726638624564e-5,0.15187352609464227,0.005467390274416708,4-Aug-19,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lick Branch-Little Mulberry,0.023341226049242422,2.5407431880787443e-4,2.404606376704545,5.79331199461025,0.2403422240719697,0.007214725682114998,0.036679823509469696,1.593261633860425e-4,0.2489459974431818,0.06494081848983017,0.018906380470643937,3.751471124323303e-4,12.52657359280303,82.84345438874082,0.4939737527556819,0.20566526555995343,5.674056462784091,17.730285232045354,1.3402871172348485,2.2291306443751777,0.03753330637973484,0.0014407253338474355,0.03277591120265152,0.0014306391365859225,0.08973592317234848,0.008602031505036413,0.3783229549431818,0.17263870132375994,0.06602198915719697,4.724082271755458e-4,0.13400195786553032,0.044339694149415666,1.3881579134469695,1.8831060793823888,1.478029840246212,2.554949282446132,0.5966549991193182,0.4332173457726268,0.8281413834469697,0.8250567024526205,0.15022808741477273,0.029200560341115813,0.40377827924242427,0.21669877279527205,0.13606657982007575,0.025589357132898644,0.04922310388920455,0.002406474169629812,0.009762838525568182,1.643143878719571e-4,0.21554593463068183,0.06389463386927965,0.6864664555871213,0.6766004638470147,0.043629145046401516,0.002182368552018078,0.007393632803030303,1.4154633898357086e-4,0.0033446920946969697,2.7704934224298755e-5,0.007860169070075758,5.368629959695736e-5,0.26762338089015153,0.06886848816607044,5-Aug-19,8.3,153.8,67.9,"35.70973036828683, -93.66113910920193",300,1056,0.62,0.356,21.9,7.82,7.83,39,AR,Boston_Mountains,4.6,0.08,0.05741935483870968,1741.5730337078653,3.371212121212121,5.871212121212121,3.8,0.09,0.01,0,86.8,1.67,0.26,2.88,2.79,0.09999999999999999,88.73
Little Piney,0.03844515685867945,2.69628782362026e-4,2.1084049567511185,3.3518483886872175,0.7822858652449416,0.13551215883187762,0.1257781712800852,0.003247293275631232,0.264256144829606,0.014487443637396211,0.02453343832374867,1.2055305516704425e-4,10.352153829499468,8.465666617335778,0.6173311592119276,0.07511617678693085,11.431640136102237,21.313509583788502,2.299169866922258,1.3249061744936008,0.044153476357294996,4.125184939128183e-4,0.05627657563929713,8.112762922702222e-4,0.1379197905005325,0.003308342740192955,0.16719243669020234,0.02292952580314472,0.04718136694781683,0.002175252474000712,0.10433194509563365,0.012992659024713577,1.4852751412247072,0.4747362467599724,2.3435842385835994,1.3232751944758263,0.9065637679116082,0.22276740826325278,1.3419379792055377,1.44843370729425,0.07573920697870075,0.006221046943657441,1.1604940876151224,1.5488785337307025,0.07187746607838126,0.005538343090047796,0.066924908614164,8.654919031040425e-4,0.028030387542066028,5.590037942303719e-4,0.13980787893365282,0.027484110668715797,0.20979177392790205,0.07136146863529555,0.04269943259978701,2.8660187464423073e-4,0.003588844718956337,1.0924727161138397e-5,0.012929547608945685,3.7220142501642576e-4,0.008086434032481363,1.316627475191771e-5,0.08108734942705005,8.85039662050456e-4,3-Aug-19,10.6,25.6,28.4,"35.649248542128724, -93.3465293909319",390,939,0.84825,0.416,22.61,6.07,6.02,24,AR,Boston_Mountains,9.28,0.09,0.049042145593869726,2039.0625,4.43024494142705,9.033546325878595,3.34,0.14,0.02,0,65.8,18.7,7.51,2.73,2.79,0.16,92.01
Mill,0.37385688155691676,0.026042344073151102,9.802660614599287,27.510198521717918,3.797475395839714,2.255606538393124,0.8963503973455844,0.13708835845337147,0.9794162866513527,0.13923654529156912,0.1974724668300153,0.007941445423693337,40.51004781674324,776.7492953101437,2.064000081623277,0.9356384752229318,50.76582157937723,452.0545284981913,1.3711497469116896,0.23893677817317063,0.26965521545941806,0.005538281624180055,0.1595145163323124,0.0027225498518381056,0.5191426670469628,0.01123065906869026,4.178078201301684,0.3695690686570351,1.9326790896886163,0.02507904820769565,0.5740462250127616,0.002675532735498657,4.239282193185298,1.737272689742399,8.5166764841756,5.561095650824279,5.048093529887698,2.1951179497162165,6.566109452271567,0.5922745094051416,0.8346981026288922,0.001929453472742674,6.267429371618172,0.029569314130262342,0.8275788299897907,0.0043675043475688,0.4368428563118938,0.01794650035487826,0.07694670861408881,1.2514346526954505e-5,2.3630767556916794,0.11863380714745578,9.767354483409903,3.6458536982223273,0.4912562484430832,0.026918428381694077,0.3300584198315467,0.006995623348728125,0.20421725962225623,0.002382635648113561,0.06979326605564062,8.479737541291319e-4,1.3288705757274117,0.18802904636619697,31-Aug-19,6.1,453,37.9,"36.500356,-91.218754",350,653,1.501,1.196,26.1,8.02,8.6,408,MO,Springfield_Plateau,917,0.21,0.07968021319120587,1255.0167224080267,18.315467075038285,22.986217457886678,2.96,0.52,0.1,0,36.4,0.01,3.17,53.3,1.53,0.62,39.58
Mulberry,0.020452682501119156,1.962042677572583e-5,2.1857227996313364,0.07088764380278445,0.3808984496642528,0.010582286368581079,0.04673301418301514,1.309385610508612e-4,0.17659978687030942,0.001294581865778978,0.0138186132481896,1.1516981393891411e-5,7.337489709282423,0.8953340924969475,0.24345979094140882,7.962286492512639e-4,7.747501601316656,2.9459550897374926,0.728881734351547,0.028668692824191013,0.032434064326530614,7.505325438032253e-5,0.01577923286188282,1.0919612286150887e-5,0.13466242920079,8.461900253116665e-4,0.10188926950625411,3.9266299229671225e-4,0.019680214644371294,1.1528725337882861e-5,0.06626047961553654,2.4058198269854932e-4,1.7489250910862408,0.10914584364357283,2.008733413587887,0.2617730639231105,0.44599705564186964,0.01687764893790705,0.8428580338380514,0.0316793534820482,0.061831026928242265,2.503457063751816e-4,0.7632759261092824,0.03165345033670129,0.054290228271231075,2.524937589259863e-4,0.13723346974325215,9.1056253024084e-4,0.008307842876366031,1.4879962039945583e-5,0.058929422409479924,1.9922158134052546e-4,0.08773637999999999,0.0019727877964794945,0.07830773759842001,4.801213453762998e-4,0.0013865157298222515,2.6503246469464725e-7,0.002496005753522054,3.4912242207831263e-6,0.013094666671757734,2.306334576193623e-5,0.09607114526662278,5.791450116741325e-4,4-Aug-19,8.4,5,54.8,"35.688254121491525, -93.44995997934139",360,1519,1.1952,0.846,21.6,6.77,8.35,18,AR,Boston_Mountains,10.46,0.7,0.07078313253012047,1412.7659574468087,5.569453587886767,7.868334430546412,4.81,0.39,0.06,0.01,81.7,6.09,3.95,1.7,2.56,0.46,91.74000000000001
