Site,Type,i-14:0,14:0,i-15:0,a-15:0,15:0,15:1w7,i-16:0,16:0,16:1w9,16:1w8,16:1w7,16:1w6,16:1w5,i-17:0,a-17:0,17:0,16:2w7,16:2w6,16:2w4,16:3w6,16:3w4,16:3w3,16:4w3,16:4w1,18:0,Cy19:0,18:1w9,18:1w7,18:2w6,18:3w6,18:3w3,18:4w4,18:4w3,18:5w3,20:0,20:1w9,20:1w7,20:2w6,20:3w6,20:4w6,20:3w3,20:4w3,20:5w3,22:0,22:1w9,22:1w7,22:4w6,22:5w6,22:5w3,22:6w3,23:0,24:0,26:0,27:0,28:0,29:0,30:0,Sample_Date,SRP_ug.L,NO3_ug.L,Canopy_Cover_per,Lat_Long,Slurry_Volume_mL,Cobble_SA_cm2,Slurry_AFDM_g,Slurry_Chla_mg,Temp,pH,DO_mg.L,Conductivity_uS.cm,State,EcoRegion,Discharge_L.s,MidPoint_Velocity_m.s,chla.afdm_per,AI,chla_mg.m2,afdm_mg.m2,UrbOp_per,UrbLo_per,UrbMed_per,UrbHi_per,Decid_per,Conif_per,MixFor_per,Hay_per,SepticWs,UrbTot_per,ForTot
Cap Fork-North Sylamore,Periphyton,23.915353635789476,4345.363755473685,238.77471186947372,26.65771340084211,213.25347190105265,0,22.869468680842107,13350.202636105263,322.79139154736845,0,20367.687160736845,0,1207.9641825789474,82.10608667368422,44.77540556210527,94.45905862421053,490.8906333157895,0,0,0,91.20610934842107,119.00853148736843,0,0,1729.7125399894737,0,1701.3995285368424,1659.2347175368423,2406.9106960736844,83.64609051157896,1464.8812927894737,0,54.32013517894737,0,58.33896871263158,0,0,37.24832799315789,0,157.1462734263158,0,0,512.5824522,118.1438234463158,0,0,0,0,28.510659191368426,8.292961814526315,7.93060797031579,247.74296951368422,0,0,0,0,0,1-Aug-19,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1,0.04750614682121532,2104.9907578558223,5.6947368421052635,11.987368421052631,3.23,0.5,0.07,0.01,80.5,7.24,5.69,1.67,4.7,0.5800000000000001,93.42999999999999
Cap Fork-North Sylamore,Periphyton,8.982128027052632,1040.6041402421054,180.01168905473688,19.53305238505263,44.32618660736843,0,4.737149713263158,4998.554245578948,87.85259467263158,0,4646.990063368421,0,270.35590144105265,17.502845366842106,8.274631642105264,20.517395184,84.71500201894737,0,0,0,16.026331168421052,13.011781351263158,0,0,382.4171767957895,0,421.26795647368425,404.38032545368424,505.30622302105263,15.995570456210526,248.1774277894737,0,9.78190654863158,0,13.62699559957895,0,0,6.275185332,0,23.870312835473687,0,0,70.22670646105264,22.393798641157893,0,0,0,0,0,1.4765141943157898,1.9686855937894738,17.25675966505263,0,0,0,0,0,1-Aug-19,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1,0.04750614682121532,2104.9907578558223,5.6947368421052635,11.987368421052631,3.23,0.5,0.07,0.01,80.5,7.24,5.69,1.67,4.7,0.5800000000000001,93.42999999999999
Cap Fork-North Sylamore,Periphyton,23.502297993473686,2834.2541205789475,417.59486257894736,42.74858676947369,118.36467597157895,0,10.674745733052632,9459.46164663158,207.4432465231579,0,9979.409063684212,0,601.8334341157895,28.075771767789476,18.958586519052634,51.1613975463158,251.5509784484211,0,0,0,53.01658103368422,42.47080528736843,0,0,1046.3929426736843,0,898.246122663158,883.7022779684211,1355.5141342736842,42.004529210526314,781.0917803684212,0,27.41108035421053,0,33.06591777757895,0,0,16.924829199473688,0,81.32053044631579,0,0,290.1923674957895,58.562290020000006,0,0,0,0,15.932752458315791,1.2004128568421053,4.1964846135789475,79.2371692894737,0,0,0,0,0,1-Aug-19,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1,0.04750614682121532,2104.9907578558223,5.6947368421052635,11.987368421052631,3.23,0.5,0.07,0.01,80.5,7.24,5.69,1.67,4.7,0.5800000000000001,93.42999999999999
Diles,Periphyton,63.08143169899665,3272.299676789298,619.7791069565217,135.08213406020064,215.737614722408,0,32.459092151839464,9655.367658862875,345.79439367892974,0,3938.1298452842802,0,1431.8441717056855,55.6609511438127,47.10903098327759,85.90124612709029,85.59267170568562,0,0,0,67.57780208026756,30.181518915050166,0,0,929.38212722408025,0,1538.7725618729096,1595.2857664214043,2384.0901957190636,161.88402816722407,819.6177913043479,0,340.44577007357856,0,80.22935408026756,0,0,38.32200648963211,0,478.5401784280936,0,0,1067.7998040802674,166.73305509030098,0,0,0,0,41.202034585284274,72.3827469431438,18.426302199331104,323.5476460334448,0,0,0,0,0,31-Aug-19,5.9,324.8,92.3,"36.453992,-91.183338",720,1196,2.92,0.654,25.7,8.08,8.5,430,AR,Springfield_Plateau,49.7,0.08,0.022397260273972607,4464.831804281345,5.4682274247491645,24.414715719063544,2.59,0.12,0.02,0,71.8,0.15,5.97,16.2,2.04,0.13999999999999999,77.92
Diles,Periphyton,157.27492450836118,6428.08962541806,1478.1404961872909,322.6809376655518,464.303170173913,0,77.69553032107022,14858.103154515049,656.4849832775919,0,8457.814366555183,0,4061.4441573913045,122.22951682274245,118.26786202675584,173.3154708160535,210.30015004013376,0,0,0,176.72304798662208,78.80368551170568,0,0,1518.6297160535116,0,3469.966328227424,3625.92531812709,5047.743826956522,401.1383247290969,1962.528979063545,0,988.8345746488293,0,160.12842411371238,0,0,85.28639333779263,0,1363.4187309030099,0,0,3079.466293244147,387.4803120602007,0,0,0,0,112.51930701672241,251.53737483612036,46.833408469565214,873.8634744481604,0,0,0,0,0,31-Aug-19,5.9,324.8,92.3,"36.453992,-91.183338",720,1196,2.92,0.654,25.7,8.08,8.5,430,AR,Springfield_Plateau,49.7,0.08,0.022397260273972607,4464.831804281345,5.4682274247491645,24.414715719063544,2.59,0.12,0.02,0,71.8,0.15,5.97,16.2,2.04,0.13999999999999999,77.92
Diles,Periphyton,105.18982482943143,4947.829541337792,1000.3502991973244,221.00933016722405,326.73263959866216,0,56.616052539130436,11783.541028093645,518.4536655852843,0,5562.030354381271,0,2760.8494593311034,84.27722875585283,80.14272315050167,130.81042246153845,134.37143211371236,0,0,0,111.32489763210701,47.960264997993306,0,0,1151.6732042809365,0,2388.050425083612,2430.6625071571902,3460.9679662876256,258.67334251505014,1327.7497948494984,0,619.4156249498327,0,122.72813084949833,0,0,60.53716432775919,0,828.1948208026755,0,0,1871.5706524414713,279.9727149431438,0,0,0,0,69.49970548494983,154.16371053511705,32.75595406956521,626.137531103679,0,0,0,0,0,31-Aug-19,5.9,324.8,92.3,"36.453992,-91.183338",720,1196,2.92,0.654,25.7,8.08,8.5,430,AR,Springfield_Plateau,49.7,0.08,0.022397260273972607,4464.831804281345,5.4682274247491645,24.414715719063544,2.59,0.12,0.02,0,71.8,0.15,5.97,16.2,2.04,0.13999999999999999,77.92
Hurricane,Periphyton,31.716245861733206,5042.064449853943,188.99508734177215,23.604229914800392,345.0459629990263,0,20.78859134858812,18410.505496592014,379.62746226874395,0,25579.82828627069,0,2902.07990993184,47.3324967624148,51.500137999026286,145.16043230282378,36.75214569133398,0,0,0,0.9922955306718598,6.536746801363194,0,0,1748.1518420155792,0,1691.6778227848101,925.7621144109055,148.55904449853944,9.98497376825706,45.09983181596885,0,14.971258804771178,0,74.42216472736125,0,0,2.29468341285297,0,17.464401324245372,0,0,31.554997857838366,52.10791901168452,0,0,0,0,1.3147915774099317,0.24807388266796496,6.921261319376826,134.70411815968842,0,0,0,0,0,3-Aug-19,7.2,196.6,44,"35.699393261351936, -93.24437478628576",250,1027,1.078571429,0.4005,26.2,8.78,8.28,48,AR,Boston_Mountains,132.9,0.47,0.03713245031637122,2693.062244694132,3.8997078870496593,10.502156075949367,2.57,0.14,0.02,0,90.5,3.33,1.51,1.57,1.67,0.16,95.34
Hurricane,Periphyton,26.210457083739048,4330.629564264849,150.03695674294062,23.11016268013632,259.0536835443038,0,18.91056069620253,16611.74797711782,314.80957570593966,0,23937.03960564752,0,2444.575963972736,39.216871470301854,42.3171658714703,106.16346779454723,41.88485389483934,0,0,0,1.642785481986368,4.85424582278481,0,0,1235.9922709347613,0,1423.1710014605646,734.0533714703018,164.09327161635832,10.21491423563778,44.206986757546254,0,13.611651134371957,0,47.80135199610516,0,0,4.878949362220058,0,20.12103420886076,0,0,35.4619332278481,40.489103821811106,0,0,0,0,0.9634381012658227,0.4323119693281402,6.571141927945472,117.76178033106135,0,0,0,0,0,3-Aug-19,7.2,196.6,44,"35.699393261351936, -93.24437478628576",250,1027,1.078571429,0.4005,26.2,8.78,8.28,48,AR,Boston_Mountains,132.9,0.47,0.03713245031637122,2693.062244694132,3.8997078870496593,10.502156075949367,2.57,0.14,0.02,0,90.5,3.33,1.51,1.57,1.67,0.16,95.34
Hurricane,Periphyton,40.272420472249266,5177.8464289191825,284.2510642648491,34.01087215189874,448.61406815968843,0,59.17321560370009,18838.528103700097,500.3853524829601,0,0,0,4281.357431840312,88.20019094449854,96.9748058909445,187.71974074975657,248.99421786757546,0,0,0,35.99598359298929,103.19411779454724,0,0,2312.7815421129503,0,2473.0159371957157,1482.572035053554,1364.816913583252,141.3230402872444,706.5096102726387,0,148.9255947419669,0,101.57857497565726,0,0,25.98595352969815,0,313.0774167478092,0,0,450.4091158714703,69.75343724440117,0,0,0,0,11.023703980038949,0,13.885221007789678,194.9527266066212,0,0,0,0,0,3-Aug-19,7.2,196.6,44,"35.699393261351936, -93.24437478628576",250,1027,1.078571429,0.4005,26.2,8.78,8.28,48,AR,Boston_Mountains,132.9,0.47,0.03713245031637122,2693.062244694132,3.8997078870496593,10.502156075949367,2.57,0.14,0.02,0,90.5,3.33,1.51,1.57,1.67,0.16,95.34
Lick Branch-Little Mulberry,Periphyton,41.213060823863636,5169.905823863636,319.715825,48.448941732954545,541.8652338068182,0,41.134409943181815,22903.319613636366,1010.899753409091,0,1172.907456534091,0,3059.781380681818,81.141490625,76.33067849431818,196.27326965909091,856.9013315340909,0,0,0,87.06652355113636,377.13096704545455,0,0,2962.1756392045454,0,3316.275005681818,1353.7913710227274,1873.8309857954546,347.1911988636364,940.4547823863636,0,320.59409318181815,0,105.39217846590908,0,0,24.486640465909094,0,507.0884366477273,0,0,1635.4532786931818,97.12072764204545,0,0,0,0,21.117761130681817,9.411888573863637,16.07099636647727,565.7882096590909,0,0,0,0,0,5-Aug-19,8.3,153.8,67.9,"35.70973036828683, -93.66113910920193",300,1056,0.62,0.356,21.9,7.82,7.83,39,AR,Boston_Mountains,4.6,0.08,0.05741935483870968,1741.5730337078653,3.371212121212121,5.871212121212121,3.8,0.09,0.01,0,86.8,1.67,0.26,2.88,2.79,0.09999999999999999,88.73
