,Spring,Spring,Spring,Spring,Roasting Ear,Roasting Ear,Roasting Ear,Roasting Ear,Roasting Ear,Roasting Ear,Roasting Ear,East Livingstone,East Livingstone,East Livingstone,East Livingstone,East Livingstone,Perry,Perry,Perry,Perry,Perry,Perry,Lewis Prong,Lewis Prong,Lewis Prong,Lewis Prong,Lewis Prong,Lewis Prong,Lewis Prong,Lewis Prong,Cap Fork,Cap Fork,Cap Fork,Cap Fork,Cap Fork,Cap Fork,Cap Fork,Cap Fork,Little Piney,Little Piney,Little Piney,Little Piney,Cove,Cove,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Lick Branch,Mulberry,Mulberry,Mulberry,Mulberry,Mulberry,Mulberry,Mulberry,Roasting Ear,Roasting Ear,Cap Fork,Cap Fork,North Sylamore,North Sylamore,East Livingstone,East Livingstone,Spring,Spring,Diles,Diles,Cap Fork,Mill,Mill,Mill,Mill,Mill,Mill,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Hurricane,Diles,Diles,Diles,Diles,Diles,Diles,Diles,Diles,Diles,North Sylamore,North Sylamore,North Sylamore,North Sylamore,North Sylamore,North Sylamore,North Sylamore,North Sylamore,North Sylamore,Mulberry,Mulberry,Cove,Hurricane,Lewis Prong,Lick Branch
FA_id,Hydropsychid,Heptageniid,Psephenis,Limnephilid,Amphipod,Amphipod_2,Hydropsychid,Hydropsychid_2,Isopod,Isopod_2,Heptageniid,Hydropsychid,Hydropsychid_2,Tabanid,Heptageniid,Heptageniid_2,Snails,Snails_2,Hydropsychid,Heptageniid,Isonychia,Small Megalopte,Psephenis,Heptageniid,Heptageniid_2,Perlidae,Perlidae_2,Tipulid,Hydropsychid,Hydropsychid_2,Tipulid,Heptageniid,Heptageniid_2,Perlidae,Philopotamid,Philopotamid_2,Hydropsychid,Hydropsychid_2,Tipulid,Tipulid_2,Heptageniid,Hydropsychid,Heptageniid,Heptageniid_2,Psephenis,Psephenis_2,Aeshnid,Aeshnid_2,Small Megalopte,Tipulid,Perlidae,Perlidae_2,Hydropsychid,Hydropsychid_2,Psephenis,Perlidae,Perlidae_2,Tipulid,Tipulid_2,Hydropsychid,Hydropsychid_2,Snails,Snails_2,Snails,Snails_2,Snails,Snails_2,Snails,Snails_2,Snails,Snails_2,Snails,Snails_2,Small Megaloptera,Hydropsychid,Hydropsychid_2,Isonychia,Perlidae,Heptageniid,Heptageniid_2,Snails,Snails_2,Hydropsychid,Hydropsychid_2,Tipulid,Leptocerid,Leptocerid_2,Isonychia,Isonychia_2,Tabanid,Limnephilid,Heptageniid,Psephenis,Psephenis_2,Perlidae,Small Megaloptera,Small Megaloptera_2,Oligochaete,Amphipod,Amphipod_2,Hydropsychid,Hydropsychid_2,Heptageniid,Heptageniid_2,Chloroperlid,Small Megaloptera,Oligochaete,Isonychia,Isonychia_2,Large Megaloptera,Large Megaloptera_2,Hydropsychid,Large Megaloptera,Large Megaloptera,Large Megaloptera
i-14:0,0.017969232,0.005508448,0.006622977,0.003177603,0.013980173,0.014877685,0.019603686,0.022223605,0.025823955,0.066046677,0.006021537,0.033928265,0.019424914,0.006157197,0.016734449,0.014706455,0.00179503,0.000756269,0.023233132,0.007222652,0.003113002,0.001356001,0.011768367,0.005790647,0.006691574,0.003163275,0.004054355,0.001411836,0.018880312,0.015840299,0.00520573,0.009363643,0.009084167,0.005545852,0.003543429,0.004636028,0.014402308,0.032498819,0.000182671,0.006632351,0.005474548,0.004609641,0.017891168,0.018615382,0.014115197,0.018504763,0.003464809,0.003238272,0.000887665,0.003369333,0.00462256,0.003968634,0.025299609,0.025034328,0.005662814,0.007112161,0.004295127,0.00106182,0.000339212,0.023966474,0.010379879,0.001401411,0.000833575,0.004497714,0.00530365,0.001119361,0.001131107,0.001148252,0.000562301,0.001113787,0.000956454,0.000557239,0.000777086,0.00316868,0.015637186,0.015849769,0.001856414,0.00882066,0.005017701,0.009372622,0.004148339,0.006049175,0.019034848,0.0223497,0.008124052,0.017414851,0.014929139,0.004027473,0.002902672,0.004702884,0.00204238,0.012042453,0.013278264,0.020697966,0.007163414,0.001539176,0.006027647,0.022643448,0.01227032,0.009558561,0.022821236,0.022034829,0.016344688,0.016253252,0.142078522,0.003496899,0.022150839,0.003015136,0.00272506,0.001786527,0.001039897,0.000791743,0.000333613,0,0.001
FA14:0,0.226212889,0.104812888,0.513773734,0.343193623,0.908815117,0.754507307,1.060633439,1.150074338,0.59467693,1.128615937,0.530505409,0.512827965,0.251056754,0.199245567,0.194437735,0.154408099,0.162291217,0.110957626,0.363372316,0.142550072,0.143058538,0.015048453,0.539831288,0.371083317,0.350001012,0.066192534,0.116472945,0.073182653,0.772310206,0.738122094,0.144216283,0.502795299,0.411408101,0.165540765,0.127760311,0.145296715,0.426974988,0.923292237,0.023801167,1.482932654,0.530856609,1.022401168,0.757331224,0.771905036,0.615587783,0.832830685,0.114909759,0.1507707,0.012052398,0.118975201,0.042239168,0.173329839,0.338380887,0.373300623,0.170727528,0.102243078,0.13895936,0.022205586,0.006333153,0.741790217,0.582581776,0.223838289,0.145384089,0.304685949,0.353687801,0.142635497,0.170247259,0.194469749,0.094074924,0.111787559,0.124377691,0.059992179,0.087159629,0.092287302,0.855734382,0.553222619,0.094401116,0.811113024,0.458821251,0.404981149,0.212730389,0.275809798,0.528693743,0.644296287,0.062077477,0.274192064,0.328683708,0.137717124,0.117235704,0.064505825,0.185354462,0.187573812,0.79299464,1.192939628,0.168578146,0.035932241,0.084837538,0.063403922,0.130864854,0.060797994,0.674270655,0.622373191,0.278017533,0.344068175,0.62141064,0.196756187,0.096527762,0.173821295,0.192080135,0.042213117,0.040102611,0.038334539,0.006510239,0.1,0.043
i-15:0,0.097794949,0.052023207,0.035677114,0.012197012,0.04366737,0.037813742,0.060686194,0.057546745,0.091995713,0.176665172,0.034076636,0.162214369,0.088597094,0.030587602,0.096906657,0.093015907,0.006541161,0.004090108,0.126156034,0.065739111,0.059189685,0.011327335,0.048796563,0.03924688,0.044544503,0.035960697,0.031960566,0.01873561,0.115709256,0.096968099,0.033628798,0.063171911,0.066304123,0.041623136,0.02422701,0.03941314,0.058617149,0.142948268,0.003397163,0.036127674,0.037072609,0.027991706,0.073042085,0.081691809,0.04914875,0.065736232,0.030501212,0.030176027,0.010155771,0.043695,0.03931599,0.03191483,0.151263169,0.14815131,0.024795556,0.080358717,0.030754902,0.01885622,0.00731831,0.15278311,0.086820784,0.003956329,0.002245721,0.013138213,0.012994357,0.003684191,0.004097804,0.004973265,0.003095888,0.003186541,0.003825815,0.003636719,0.005224911,0.016515219,0.085128416,0.090444966,0.015773849,0.099217889,0.035151539,0.068472337,0.006592964,0.010693588,0.090739971,0.10415392,0.07488433,0.049664883,0.053372041,0.047577949,0.048641336,0.049781843,0.00925517,0.101883755,0.059519389,0.093799068,0.053337639,0.013523499,0.040853099,0.102951304,0.049011688,0.036972622,0.088647364,0.083990109,0.074340299,0.06874006,0.785497857,0.020247032,0.038190729,0.031664593,0.036007976,0.012346544,0.012355117,0.005193179,0.001956525,0,0.012
a-15:0,0.018164594,0.005309904,0.0068792,0.002043635,0.008384258,0.007494078,0.007852689,0.006467021,0.015934943,0.033020417,0.002438844,0.038859116,0.020685592,0.005451838,0.007085521,0.007329039,0.001524587,0.001050374,0.026271458,0.004757436,0.002686564,0.002554327,0.007586328,0.003546677,0.003697194,0.004240537,0.004113638,0.001918745,0.019298728,0.01567513,0.004731235,0.003839025,0.003971642,0.003461505,0.002504838,0.002987203,0.010152048,0.026099887,0.000275978,0.00442225,0.004326362,0.004678022,0.011801832,0.013046046,0.007353751,0.011014212,0.003032969,0.002240776,0.002139218,0.005323472,0.005434385,0.001929064,0.033060659,0.032510925,0.003691119,0.009216624,0.003495235,0.001831462,0.000718118,0.02538371,0.008300091,0.000759609,0.000421386,0.001501178,0.002061047,0.001019981,0.00108982,0.001615781,0.001039288,0.000721275,0.000792745,0.000836836,0.001185464,0.00304263,0.017479002,0.014782168,0.001735426,0.006707579,0.004650215,0.006062539,0.001677795,0.00230732,0.018598467,0.021283914,0.007008457,0.004172134,0.004361853,0.003239205,0.003052575,0.005733762,0.001768706,0.006832831,0.007281533,0.010261589,0.003566703,0.002982477,0.00916878,0.014625134,0.012120003,0.012541806,0.011182632,0.010686545,0.013190593,0.00572968,0.140161039,0.002205657,0.008079432,0.001728326,0.001649057,0.001894335,0.001648617,0.00114018,0.000318208,0,0.002
FA15:0,0.119154525,0.050264013,0.039458345,0.051217982,0.058109062,0.052795925,0.079045023,0.080117881,0.075362028,0.187455178,0.068533933,0.196559189,0.103039849,0.044830712,0.084654885,0.071038465,0.024353267,0.017871996,0.120680018,0.050039573,0.085652142,0.007353938,0.057027087,0.07850129,0.083075499,0.036095354,0.038070093,0.016191052,0.180735709,0.151169382,0.038782416,0.087337816,0.06751363,0.043138542,0.055289715,0.068519395,0.085709517,0.212723776,0.003627145,0.064953207,0.115213511,0.057361074,0.148931683,0.154337143,0.07101813,0.086202278,0.038851461,0.032456273,0.006357006,0.03539449,0.028607767,0.041120523,0.153904665,0.171636514,0.01929871,0.076912724,0.035263861,0.010817741,0.003135903,0.177034297,0.108537245,0.024323398,0.015565371,0.07703281,0.076822345,0.016825523,0.020878942,0.025307673,0.013828731,0.017670319,0.018389908,0.01427119,0.02109333,0.014420645,0.098704758,0.10425808,0.014650926,0.226797592,0.074820667,0.08742725,0.043274977,0.060375799,0.120179777,0.129351019,0.027669461,0.096539299,0.097310169,0.108585157,0.095608752,0.031513717,0.041200435,0.098110892,0.046353104,0.11067383,0.058327593,0.009614666,0.028047409,0.029709428,0.067266851,0.056458421,0.106485665,0.099610343,0.073349712,0.076642511,0.489651101,0.033312496,0.016717683,0.062268794,0.063401838,0.009039159,0.010944281,0.006187543,0.002461062,0,0.01
15:1w7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i-16:0,0.032710921,0.010998427,0.01538891,0.009340908,0.012037949,0.015131468,0.021649288,0.022743983,0.024337994,0.105769711,0.007965894,0.051049009,0.027718419,0.009808899,0.017924133,0.020876877,0.011513156,0.006698945,0.03262926,0.012412582,0.008040307,0.00509604,0.011446269,0.009465335,0.009958171,0.013290953,0.014998806,0.00550716,0.042916312,0.034997906,0.013030782,0.011276276,0.010688264,0.015063662,0.013759638,0.015791471,0.019107952,0.053657955,0.000770111,0.018125285,0.0107562,0.011524104,0.027377056,0.029847698,0.013952522,0.018543546,0.006538136,0.005263761,0.002530673,0.012909053,0.015315636,0.009592466,0.047502749,0.0481086,0.006300129,0.028899235,0.011311996,0.005729554,0.002259005,0.04826195,0.030191601,0.006193237,0.004738922,0.019825144,0.015884243,0.006565608,0.007679204,0.007049095,0.004990908,0.007729114,0.007132725,0.005781601,0.008340255,0.004187807,0.034888314,0.034809267,0.006181746,0.023121115,0.008291917,0.016099854,0.01381431,0.02358011,0.037844686,0.041313426,0.020303383,0.013265675,0.014452708,0.008114979,0.0079585,0.018639722,0.005229216,0.019390762,0.015632754,0.026189399,0.021524536,0.006312176,0.014711669,0.054801736,0.024498885,0.021241246,0.023110941,0.022387045,0.013111673,0.012882582,0.191571132,0.006616971,0.030781879,0.003943451,0.004858775,0.003272733,0.004600276,0.001510871,0.000460843,0,0.005
FA16:0,2.498545367,1.817589376,4.817947724,2.775498211,2.998687594,2.358687748,2.774641587,3.000670331,2.143070655,3.375990564,2.658050364,2.826934528,1.797144447,1.858139875,2.30233418,1.698431037,0.803023306,0.408334695,2.725001636,2.509158064,2.580814486,0.334944767,3.064242924,3.026023309,3.112260117,1.11377757,1.686058185,0.670947374,3.494241849,2.641612568,1.597281523,3.128199832,2.789015038,2.303937374,2.55494827,3.197672935,2.920911841,5.489981366,0.236061427,3.502665845,6.866892434,2.638070425,3.549873284,3.643903164,4.374914491,6.287347834,1.656487219,1.666888233,0.219942473,1.389583857,0.976420281,2.173237782,2.395617856,2.871879138,1.656177184,1.752021263,1.982447795,0.508284159,0.159999625,4.466027206,2.554507538,0.661472992,0.43826505,0.95865533,1.145553433,0.424986394,0.499935974,0.629641039,0.307259454,0.459129589,0.511270206,0.26373057,0.368275687,0.933009305,3.169798966,2.740082794,1.479611204,7.226259694,2.895912651,3.469239776,0.762904953,1.062779212,2.616222177,2.823175014,1.106189147,2.325554603,2.805171868,2.560238126,2.369845588,1.242859918,2.011255707,2.273638084,3.208474632,4.091719139,2.085003528,0.257955761,0.71317565,0.159065334,1.316843597,1.020351008,3.028808013,2.823646761,2.58727753,2.768352598,5.411913357,1.367863643,0.121371746,2.924637061,2.488762939,0.614456194,0.476117451,0.361879901,0.127073037,0.7,0.358
16:1w9,0.065796286,0.073932333,0.093164242,0.041710094,0.025614293,0.035589404,0.060612175,0.063651524,0.0113296,0.014125736,0.043494267,0.128454018,0.071888971,0.059588146,0.139866736,0.123674511,0.00550248,0.00326642,0.084910196,0.088185557,0.061903386,0.005159109,0.15498421,0.061411729,0.069811136,0.029421529,0.043155327,0.014864327,0.137423907,0.116032177,0.030428015,0.056106179,0.056726718,0.034317287,0.04058652,0.053079765,0.038525566,0.096038278,0.00245358,0.116328324,0.115222697,0.088104084,0.097579115,0.103072144,0.257890162,0.344410207,0.047649693,0.048999266,0.004223301,0.035970099,0.024070025,0.075456893,0.125285518,0.133452364,0.093081256,0.05542519,0.069970702,0.012000708,0.003247771,0.146196758,0.113828575,0.005668521,0.002290033,0.03096106,0.033198695,0.005280217,0.003937247,0.022846599,0.005460138,0.004154615,0.003411087,0.001243523,0.001071118,0.01517024,0.070818665,0.064127233,0.024708078,0.054617011,0.037804068,0.045007323,0.014767632,0.038860917,0.0976607,0.115977558,0.017505399,0.066205234,0.098236397,0.035474649,0.04287006,0.032105074,0.043536846,0.087499715,0.129903616,0.206911076,0.065272375,0.009635396,0.025777861,0.003630774,0.012763025,0.012152834,0.084717445,0.086282179,0.086529419,0.07977866,0.182237844,0.038071056,0.003035646,0.016098338,0.031124816,0.022090304,0.013375992,0.005632386,0.002106996,0,0.018
