,,Rerun,,,,,,,,,Rerun,Rerun,Rerun,,Rerun,,,,,,,,,,,,,,,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun
FA_id,CapFork Alg1,CapFork Alg1,CapFork Alg2,CapFork Alg3,Diles Alg1,Diles Alg2,Diles Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,LickB Alg1,LickB Alg1,LickB Alg2,LickB Alg3,LewisP Alg1,LewisP Alg2,LewisP Alg3,LPiney Alg1,LPiney Alg2,LPiney Alg3,MillC Alg1,MillC Alg2,MillC Alg3,Mulberry Alg1,Mulberry Alg2,Mulberry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Cove Alg1,Cove Alg2,Cove Agl3,ELivingston Alg1,ELivingston Alg2,ELivingston Alg3,Spring Alg1,Spring Alg2,Spring Alg3
i-14:0,12.28932312,5.82553486,2.187954263,5.724918742,10.47852671,26.12511246,17.47319868,25.9989224,21.50462396,32.57266404,13.0290338,10.76725577,16.54391033,27.59020912,14.50699741,3.729254879,6.412082419,8.922917262,9.232500193,15.91205462,4.758956341,10.8268978,12.18337839,49.6833145,104.3708518,55.19887112,10.76726927,7.302577974,7.819840022,28.27462496,17.80593465,41.57874804,15.08107853,9.360449371,22.75209319,44.55384641,96.17931533,59.12934557,22.8534208,50.09897126,30.75035743,60.83624087,80.79922923,9.822501713,47.22207681,48.01835482,5.006304408,19.13037446,19.91667513,17.22766112,14.01816118,53.72755963,15.49804829,10.236174,3.322819724,1.913096185
FA14:0,1031.121178,1058.486043,253.4804957,690.3952345,543.5653352,1067.77711,821.8894627,1496.92328,1328.530945,1494.259081,2071.280076,1779.022625,2127.059313,1344.995751,1819.80685,274.8454762,444.6120076,841.1983353,935.3202251,1262.982779,1.168740161,717.0343337,804.7140449,1077.944243,2935.572062,1473.172879,1046.473922,827.7765646,892.5102906,2302.57174,1142.366559,2993.071336,2483.860462,1394.580287,3424.136937,1359.669042,1954.914761,1356.837191,1884.090539,2863.559062,1882.343125,3885.358112,4008.162371,702.8944486,3692.046624,4327.154886,668.6301058,4421.457932,4772.888934,3570.807532,2894.116534,1407.17316,2949.390391,1963.996324,771.6470023,376.6337084
i-15:0,214.0558648,58.16307084,43.84900118,101.7218255,102.9521961,245.5355602,166.1692997,280.9192468,222.9903556,405.3026396,77.63918188,61.63518183,116.7703372,396.7315385,112.5399704,53.06735777,88.19406045,180.2988425,220.4150518,377.6128562,87.19233575,225.4792705,252.3794918,525.752298,1031.104921,568.6440097,210.4788647,130.648051,141.0270385,328.5303471,245.1878386,604.4202781,114.618298,67.43629391,173.2723577,345.4148135,812.4863435,510.6815721,97.27126806,228.5817837,143.6084088,456.5040059,556.9422556,72.77757951,207.6200946,212.8565273,19.75536107,127.0444179,135.7811424,118.0798192,112.9965948,327.5259972,120.514674,77.43741516,35.20112145,18.52483237
a-15:0,22.82996017,6.493545572,4.758051222,10.41311729,22.43864338,53.60088909,36.7121054,34.04163805,29.34611482,47.6909915,9.696617649,9.493654829,13.97166628,56.45920123,17.05402749,8.218961406,13.46090473,24.48560324,29.05412301,49.67303341,14.61285182,36.10196922,40.1357196,115.554287,245.692768,140.4530674,25.25382799,16.37327209,17.52910704,12.58471381,31.26400032,45.64667532,15.22815975,9.207572224,22.07711443,48.16953273,110.4912755,73.38959513,12.70616698,33.18557343,21.56764583,41.21236351,61.23309518,13.2169975,35.60086548,38.17709607,3.359248868,15.83502437,17.56822364,15.10591437,19.14491109,69.47462362,19.64242687,19.56171637,7.009072855,3.82619237
FA15:0,55.67459301,51.94635854,10.79740443,28.83242107,35.83641489,77.12591549,54.2739218,145.36087,111.982647,191.9835448,141.7448816,106.4192532,184.2906592,196.1719414,190.7365623,27.52834964,44.62206136,74.97114295,86.20153186,139.5049476,30.87441923,74.0504198,85.94940712,134.2816423,262.5090271,151.4026179,91.94555196,64.18050282,67.4198421,244.1560935,123.9152531,320.2571282,238.3293674,118.5977234,311.7188448,78.04794642,159.6344308,84.19789238,75.72521925,155.3105281,80.57423519,305.1826904,304.9970672,30.68172961,268.4569614,279.6955615,28.54896268,315.3476594,337.3415078,253.9869236,130.8550889,269.2715609,138.1909306,250.7441041,125.4624041,65.48092586
15:1w7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i-16:0,5.071383655,5.570768012,1.153921084,2.600258576,5.391815863,12.90609087,9.404555394,35.0891798,19.37515306,26.40398193,8.539953326,7.768458334,24.30835697,22.10408506,14.4793123,1.98934151,3.496483967,4.867045779,6.526722973,8.946036129,2.891851937,7.001422877,7.827416406,18.93511345,51.78995151,39.80309576,7.482797672,5.06249457,4.946769028,13.80243826,16.50927105,22.88927663,23.10751112,16.21371352,38.57238199,27.60974776,38.83560086,45.79701766,8.039639891,55.55400671,11.12659604,35.49420107,12.79124824,2.139250216,52.19075538,32.30145697,1.70754063,15.83502437,17.0262733,15.03672698,14.83163072,72.99912049,13.43549708,20.69157413,10.7991641,5.45516536
FA16:0,2885.316471,3251.972437,1217.596547,2304.227837,1603.86385,2468.096024,1957.377093,5105.882652,4554.968571,5354.325055,7563.035658,6824.106069,7738.867345,5636.7904,8061.968504,2074.676352,3091.416858,2553.267465,3133.755504,4131.119837,1699.820969,2749.08925,3028.530124,3882.979756,13507.51401,5283.558712,3526.849388,2738.511354,3022.678315,9706.310623,5768.661002,13218.66039,14063.57586,8081.610189,18879.29256,4186.462237,7035.908104,4281.311072,6097.271268,9546.995084,6051.785803,10235.39769,11613.16957,2626.818773,14786.2683,17342.55733,3808.48094,21392.58026,24738.18153,20081.43356,13982.00908,11677.09142,13966.44017,12159.07385,7525.641525,3753.096943
16:1w9,73.37882634,78.6286723,21.39999101,50.53104723,57.44029095,109.04945,86.12091445,143.8924616,93.63141261,128.8000599,155.9509615,129.3237737,205.5583028,149.7088023,355.8367132,57.38063951,108.4189302,151.4862704,182.3001845,263.3495378,72.9922628,178.5069569,194.4038253,332.9838337,585.8695278,236.3969699,115.9489715,99.37611094,92.85443626,1227.178205,2093.371621,9451.88484,30.29873248,62.60537603,63.36457954,241.0040515,234.1217286,279.9223311,369.2092958,336.8786417,357.5439404,6613.226481,7986.732908,22.1042182,5.038475632,9.293875127,30.35420999,368.2987322,466.7095711,363.741193,455.5807794,233.4510321,505.6720158,222.1603892,88.41815609,43.94438762
